,employee_id,age,attrition,businesstravel,$_dailyrate,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,$_hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,$_monthlyincome,$_monthlyrate,numcompaniesworked,overtime,%_percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,$_salary,remotework
0,1,51,No,non_travel,2015.72,None,6,3,None,1,male,251.96724058965503,3,5, research director ,3,None,16280.83,42330.17,7,no,13,3.0,3,full time,0,30.037231915133198,5,3.0,20,None,15,15,1972,195370.0,yes
1,2,52,No,non_travel,2063.39,None,1,4,life sciences,3,male,257.92581157584004,2,5, manager ,3,None,17113.56304265929,43331.17,0,no,14,3.0,1,part time,1,34.0,5,3.0,33,None,11,9,1971,199990.0,yes
2,3,42,No,travel_rarely,1984.25, research & development ,4,2,technical degree,3,male,248.03335179553102,3,5, manager ,4,married,16464.84911288768,41669.33,1,no,11,3.0,4,part time,0,22.0,3,2.8023257531821537,22,None,11,15,1981,192320.0,yes
3,4,47,No,travel_rarely,1771.4,None,2,4,medical,1,female,221.42699659725153,3,4, research director ,3,married,14307.5,37199.5,3,no,19,3.0,2,full time,2,26.670673917019535,2,2.7911867755880317,20,None,5,6,1976,171690.0,no
4,5,46,No,non_travel,1582.77,None,3,3,technical degree,1,female,103.46145532981413,4,4, sales executive ,1,divorced,12783.92,33238.2,2,no,12,3.0,4,part time,1,11.329229902796067,5,3.0,19,None,2,8,1977,80223.04338101407,no
5,6,48,No,non_travel,1771.92, research & development ,22,3,medical,4,female,107.52697243503297,3,4, manager ,4,None,14311.67,37210.33,3,no,11,3.0,2,part time,1,11.292475377479517,3,3.0,22,None,4,7,1975,83375.331579491,yes
6,7,59,No,non_travel,1032.49,None,25,3,life sciences,1,female,129.061041989673,3,3, sales executive ,1,None,8339.32,21682.23,7,no,11,3.0,4,part time,0,28.0,3,2.0,21,None,7,9,1964,100071.84,yes
7,8,42,No,travel_rarely,556.26,None,1,1,None,2,male,69.53,3,2, sales executive ,3,married,4758.06952276127,11681.39,1,no,25,4.0,3,part time,0,20.0,3,3.0,20,None,11,6,1981,53914.11,no
8,9,41,No,non_travel,1712.18,None,2,5,None,2,female,214.02393852701616,3,4, manager ,1,married,13829.17,35955.83,7,no,16,3.0,2,full time,1,22.0,2,3.0,18,None,11,8,1982,165950.0,yes
9,10,41,No,travel_frequently,1973.98,None,9,3,None,1,male,152.23667135774926,3,5, research director ,3,None,15943.72,41453.67,2,no,17,3.0,2,part time,1,21.0,2,4.0,18,None,0,11,1982,118041.77162964293,no
10,11,41,No,non_travel,2060.71,None,7,1,None,2,female,257.59037038730105,1,5, research director ,3,None,16644.17,43274.83,1,no,22,4.0,2,full time,2,30.657088696840727,3,3.0,21,None,5,10,1982,199730.0,no
11,12,56,No,travel_rarely,1382.75,None,23,3,life sciences,4,male,172.84,3,4, manufacturing director ,2,married,11533.625438692894,29037.67,4,yes,12,3.1387416450982455,1,full time,1,33.0,0,3.0,19,None,15,9,1967,134020.0,no
12,13,38,No,non_travel,1362.52,None,10,3,medical,2,female,170.3159384821458,1,3, research director ,3,married,11367.880767299073,28613.0,3,no,12,3.0,1,full time,1,20.897423549064538,3,3.0,18,None,1,11,1985,132060.0,yes
13,14,41,Yes,travel_rarely,2016.55,None,12,3,None,2,female,252.0704141031598,3,5, research director ,3,married,16729.569118926986,42347.5,1,no,12,3.0,4,full time,0,29.879153979714165,0,3.0,22,None,15,8,1982,195450.0,no
14,15,55,No,non_travel,1973.98,None,14,4,medical,3,male,111.87004374354049,4,5, research director ,2,single,15943.72,41453.67,8,no,11,3.0,4,part time,0,11.2532116085102,3,3.0,24,None,2,15,1968,86742.8275404298,yes
15,16,40,No,travel_rarely,1861.37,None,2,4,None,3,female,232.6732358052076,3,5, manager ,3,None,15034.17,39088.83,0,no,14,3.0,4,full time,0,27.91038316710116,2,3.0,20,None,1,12,1983,180410.0,no
