employee_id,age,attrition,businesstravel,$_dailyrate,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,$_hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,$_monthlyincome,$_monthlyrate,numcompaniesworked,overtime,%_percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,$_salary,remotework
1,51,No,non_travel,2015.72,,6,3,,1,male,,3,5, research director ,3,,16280.83,42330.17,7,no,13,3.0,3,full time,0,,5,3.0,20,,15,15,1972,195370.0,yes
2,52,No,non_travel,2063.39,,1,4,life sciences,3,male,,2,5, manager ,3,,,43331.17,0,,14,3.0,1,,1,34.0,5,3.0,33,,11,9,1971,199990.0,yes
3,42,No,travel_rarely,1984.25, research & development ,4,2,technical degree,3,male,,3,5, manager ,4,married,,41669.33,1,no,11,3.0,4,,0,22.0,3,,22,,11,15,1981,192320.0,yes
4,47,No,travel_rarely,1771.4,,2,4,medical,1,female,,3,4, research director ,3,married,14307.5,37199.5,3,,19,3.0,2,full time,2,,2,,20,,5,6,1976,171690.0,no
5,46,No,non_travel,1582.77,,3,3,technical degree,1,female,,4,4, sales executive ,1,divorced,12783.92,33238.2,2,no,12,3.0,4,,1,,5,3.0,19,,2,8,1977,,no
6,48,No,non_travel,1771.92, research & development ,22,3,medical,4,female,,3,4, manager ,4,,14311.67,37210.33,3,no,11,3.0,2,,1,,3,3.0,22,,4,7,1975,,yes
7,59,No,non_travel,1032.49,,25,3,life sciences,1,female,,3,3, sales executive ,1,,8339.32,21682.23,7,,11,3.0,4,part time,0,28.0,3,2.0,21,,7,9,1964,100071.84,yes
8,42,No,travel_rarely,556.26,,1,1,,2,male,69.53,3,2, sales executive ,3,married,,11681.39,1,no,25,4.0,3,part time,0,20.0,3,3.0,20,,11,6,1981,53914.11,no
9,41,No,non_travel,1712.18,,2,5,,2,female,,3,4, manager ,1,married,13829.17,35955.83,7,no,16,3.0,2,full time,1,22.0,2,3.0,18,,11,8,1982,165950.0,yes
10,41,No,travel_frequently,1973.98,,9,3,,1,male,,3,5, research director ,3,,15943.72,41453.67,2,no,17,3.0,2,,1,21.0,2,4.0,18,,0,11,1982,,no
11,41,No,non_travel,2060.71,,7,1,,2,female,,1,5, research director ,3,,16644.17,43274.83,1,no,22,4.0,2,full time,2,,3,3.0,21,,5,10,1982,199730.0,no
12,56,No,travel_rarely,1382.75,,23,3,life sciences,4,male,172.84,3,4, manufacturing director ,2,married,,29037.67,4,yes,12,,1,full time,1,33.0,0,3.0,19,,15,9,1967,134020.0,no
13,38,No,non_travel,1362.52,,10,3,medical,2,female,,1,3, research director ,3,married,,28613.0,3,no,12,3.0,1,full time,1,,3,3.0,18,,1,11,1985,132060.0,yes
14,41,Yes,travel_rarely,2016.55,,12,3,,2,female,,3,5, research director ,3,married,,42347.5,1,no,12,3.0,4,full time,0,,0,3.0,22,,15,8,1982,195450.0,no
15,55,No,non_travel,1973.98,,14,4,medical,3,male,,4,5, research director ,2,single,15943.72,41453.67,8,no,11,3.0,4,,0,,3,3.0,24,,2,15,1968,,yes
16,40,No,travel_rarely,1861.37,,2,4,,3,female,,3,5, manager ,3,,15034.17,39088.83,0,no,14,3.0,4,full time,0,,2,3.0,20,,1,12,1983,180410.0,no
17,58,Yes,travel_rarely,1985.7,,2,4,,4,male,,3,5, research director ,2,single,16038.33,41699.67,7,yes,12,3.0,4,full time,0,40.0,2,3.0,31,,13,8,1965,192460.0,no
18,46,No,travel_rarely,1582.77,,2,3,,3,female,,3,4, manager ,1,,12783.92,33238.2,8,,23,4.0,1,,0,28.0,2,3.0,26,,15,9,1977,,no
19,35,No,non_travel,556.26,,13,5,life sciences,2,male,,4,2, research scientist ,1,married,4492.84,11681.39,1,,11,3.0,4,,0,,2,3.0,16,,1,10,1988,,no
20,40,No,travel_rarely,1032.49,,15,3,life sciences,1,female,,2,3, manufacturing director ,3,,8339.32,21682.23,1,,13,3.0,4,,2,18.0,2,,18,,14,12,1983,,yes
21,45,No,non_travel,1108.92, research & development ,1,1,,3,male,,2,3, healthcare representative ,3,,8956.67,23287.33,3,,23,4.0,4,full time,1,25.0,3,2.0,23,,14,4,1978,107480.0,no
22,33,No,non_travel,1032.49,,1,2,life sciences,1,female,,3,3, research director ,4,single,,21682.23,1,yes,12,3.0,3,part time,0,15.0,1,3.0,15,,8,12,1990,100071.84,yes
23,36,No,non_travel,1032.49,,8,3,,3,female,,3,3, healthcare representative ,3,divorced,,21682.23,1,,13,,2,,3,17.0,2,3.0,17,,12,8,1987,100071.84,yes
24,47,No,non_travel,1728.38,,2,2,other,3,female,216.05,3,4, manager ,4,married,,36296.0,1,,11,3.0,3,full time,1,,3,2.0,26,,3,0,1976,167520.0,no
25,36,No,travel_rarely,639.79,,42,2,life sciences,42,male,79.97,3,2, sales executive ,4,,5167.5,13435.5,1,,14,3.0,4,full time,1,18.0,1,,18,,4,11,1987,62010.0,yes
26,35,No,non_travel,1032.49,,9,3,life sciences,4,female,129.06,2,3, manufacturing director ,3,married,,21682.23,1,yes,20,4.0,2,part time,1,17.0,2,3.0,17,,5,15,1988,100071.84,no
27,52,Yes,non_travel,2047.5,,2,1,,1,female,,1,5, manager ,4,married,,42997.5,1,no,15,3.0,4,full time,1,33.0,3,3.0,32,,6,9,1971,198450.0,yes
28,36,No,non_travel,556.26,,2,4,life sciences,3,female,,3,2, manufacturing director ,2,single,4492.84,11681.39,9,yes,11,3.0,4,,0,18.0,2,3.0,16,,5,12,1987,53914.11,no
29,33,No,travel_rarely,556.26,,28,4,life sciences,2,male,69.53,3,2, laboratory technician ,3,married,4492.84,11681.39,1,,12,3.0,2,part time,1,15.0,3,3.0,15,,5,7,1990,53914.11,yes
30,34,No,non_travel,412.8, sales ,10,3,life sciences,4,male,,3,2, sales executive ,3,,3334.17,8668.83,1,yes,14,3.0,3,part time,1,15.0,3,3.0,15,,0,7,1989,40010.0,yes
31,41,No,non_travel,1077.87, sales ,37,1,,37,female,,3,3, sales executive ,3,divorced,8705.83,22635.17,0,,13,3.0,4,full time,1,,3,4.0,22,,13,5,1982,104470.0,yes
32,47,No,non_travel,1032.49, research & development ,25,3,medical,1,male,,3,3, healthcare representative ,3,,8339.32,21682.23,2,,23,4.0,2,,0,25.0,3,3.0,17,,12,11,1976,,yes
33,53,No,travel_rarely,1973.98,,5,3,,3,female,246.75,3,5, manager ,3,,15943.72,41453.67,4,,11,3.0,4,full time,1,26.0,3,2.0,14,,4,8,1970,191324.62,yes
34,35,No,non_travel,556.26,,1,4,marketing,3,male,69.53,2,2, sales executive ,1,single,4492.84,11681.39,0,no,14,,2,part time,0,16.0,2,3.0,15,,2,8,1988,53914.11,no
35,34,No,travel_rarely,556.26,,6,4,other,1,female,,3,2, research scientist ,3,single,4492.84,11681.39,1,,14,3.0,3,,0,16.0,3,3.0,16,,2,10,1989,,yes
36,46,No,travel_rarely,1032.49,,1,2,,2,female,,3,3, sales executive ,1,divorced,8339.32,21682.23,1,no,25,4.0,3,part time,3,24.0,2,3.0,24,,15,7,1977,100071.84,yes
37,43,No,non_travel,1657.4,,16,3,,4,female,207.17,3,4, manager ,4,married,,34805.33,5,,22,4.0,3,full time,1,22.0,3,3.0,17,,1,9,1980,160640.0,yes
38,36,No,non_travel,331.19, research & development ,6,3,life sciences,4,male,,3,1, laboratory technician ,4,married,2675.0,6955.0,0,,11,3.0,3,full time,1,16.0,4,3.0,15,,10,11,1987,32100.0,yes
39,60,No,travel_frequently,1059.19,,28,3,,3,female,,2,3, sales executive ,1,married,8555.0,22243.0,4,no,19,3.0,4,full time,0,22.0,5,4.0,18,13.0,13,11,1963,102660.0,yes
40,40,No,travel_frequently,1080.75,,5,4,,4,male,,2,3, sales executive ,1,married,8729.17,22695.83,5,yes,21,4.0,3,full time,1,20.0,2,3.0,18,,1,12,1983,104750.0,no
41,32,No,travel_rarely,635.76,,4,3,,3,female,,2,2, manufacturing director ,3,married,,13351.0,1,no,12,3.0,3,full time,1,14.0,3,3.0,14,,6,8,1991,61620.0,no
42,41,No,travel_rarely,487.09,,35,3,,35,male,60.89,3,1, laboratory technician ,1,single,3934.17,10228.83,2,yes,13,,3,full time,0,20.0,3,3.0,18,,2,17,1982,47210.0,yes
43,53,No,non_travel,1582.77,,2,2,medical,3,male,,3,4, manager ,3,divorced,12783.92,33238.2,6,no,13,3.0,3,full time,1,22.0,3,4.0,17,,15,2,1970,153407.07,no
44,36,Yes,travel_rarely,290.04,,16,4,,3,female,36.25,4,1, laboratory technician ,1,single,,6090.75,1,,16,3.0,3,part time,0,18.0,1,3.0,17,,15,14,1987,28111.13,yes
45,46,No,non_travel,476.15,,8,4,life sciences,4,female,,2,2, research scientist ,1,divorced,3845.83,9999.17,8,yes,23,4.0,1,part time,3,,2,3.0,16,,1,7,1977,46150.0,no
46,38,No,travel_rarely,556.26,,1,4,,4,male,,3,2, sales executive ,2,married,4492.84,11681.39,0,no,15,3.0,1,,2,16.0,3,,15,,5,8,1985,53914.11,yes
47,51,No,non_travel,1032.49,,1,4,,1,female,,2,3, healthcare representative ,1,single,8339.32,21682.23,3,,20,4.0,3,part time,0,23.0,1,2.0,13,,12,8,1972,100071.84,yes
48,43,No,non_travel,1749.74,,26,2,,3,male,,3,4, manager ,4,married,14132.5,36744.5,1,yes,12,3.0,4,full time,2,25.0,3,4.0,25,,4,12,1980,169590.0,yes
49,37,No,non_travel,290.04,,1,3,life sciences,4,female,,3,1, research scientist ,4,single,,6090.75,1,no,12,3.0,2,part time,0,,3,3.0,17,,5,7,1986,28111.13,yes
50,32,No,travel_rarely,556.26,,8,2,technical degree,3,female,,2,2, sales executive ,2,married,,11681.39,1,yes,11,3.0,4,part time,0,,2,3.0,13,12.0,11,9,1991,53914.11,yes
51,38,No,non_travel,1032.49,,1,3,,4,female,,3,3, research director ,1,married,8339.32,21682.23,1,,13,3.0,2,part time,1,15.0,3,3.0,15,,5,11,1985,100071.84,no
52,46,No,non_travel,1582.77,,3,3,life sciences,3,female,,3,4, manager ,2,,12783.92,33238.2,8,no,12,3.0,4,full time,1,23.0,2,4.0,13,,5,1,1977,153407.07,yes
53,35,Yes,travel_rarely,1063.32,,10,3,medical,4,male,,2,3, sales executive ,1,married,8588.33,22329.67,9,,17,3.0,3,,0,15.0,3,,13,,6,0,1988,,no
54,43,No,non_travel,1973.98,,6,3,medical,1,female,,2,5, manager ,3,married,15943.72,41453.67,7,no,13,3.0,4,,0,21.0,2,3.0,16,,6,14,1980,,yes
55,56,No,non_travel,556.26,,1,4,life sciences,3,male,,3,2, healthcare representative ,3,divorced,4492.84,11681.39,1,no,21,,1,,1,,2,2.0,13,,1,9,1967,,yes
56,36,No,non_travel,557.76,,15,4,marketing,4,male,,1,2, sales executive ,4,divorced,4505.0,11713.0,1,no,24,4.0,1,full time,1,,4,2.0,15,,11,11,1987,54060.0,yes
57,38,No,non_travel,556.26,,6,3,medical,2,female,,1,2, research scientist ,4,,,11681.39,7,,12,3.0,4,part time,3,17.0,3,3.0,13,,1,9,1985,53914.11,yes
58,49,No,non_travel,556.26,,26,4,medical,3,female,69.53,3,2, manufacturing director ,1,,,11681.39,1,no,14,3.0,3,part time,0,16.0,2,2.0,15,,5,11,1974,53914.11,no
59,39,No,travel_rarely,608.94,,4,4,life sciences,4,female,,2,2, sales executive ,3,married,4918.33,12787.67,4,,14,3.0,3,full time,1,17.0,1,4.0,15,,5,9,1984,59020.0,yes
60,40,No,non_travel,1119.96,,4,4,,3,male,140.0,2,3, sales executive ,4,married,,23519.17,7,no,11,,1,full time,1,15.0,2,2.0,12,,2,11,1983,108550.0,yes
61,36,No,non_travel,610.17,,5,2,,4,male,,3,2, laboratory technician ,2,single,4928.33,12813.67,8,no,16,3.0,4,full time,0,16.0,3,4.0,13,,3,7,1987,59140.0,yes
62,37,No,non_travel,556.26,,25,5,,2,female,,3,2, research scientist ,3,married,,11681.39,3,yes,15,3.0,1,,2,15.0,2,3.0,13,,10,7,1986,53914.11,no
63,35,No,non_travel,685.7,,6,4,,2,male,,1,2, research scientist ,4,,5538.33,14399.67,1,,13,3.0,2,full time,0,,3,3.0,17,,11,8,1988,66460.0,yes
64,33,No,travel_frequently,556.26,,6,3,life sciences,3,male,,3,2, healthcare representative ,4,divorced,4492.84,11681.39,3,no,23,4.0,3,part time,1,15.0,2,1.0,13,,4,7,1990,53914.11,no
65,50,No,travel_rarely,1441.66, research & development ,24,3,,4,male,,3,4, manufacturing director ,3,married,,30274.83,3,yes,18,3.0,4,full time,1,22.0,2,3.0,12,,1,5,1973,139730.0,no
66,48,No,travel_rarely,1032.49,,4,4,,3,male,,2,3, healthcare representative ,3,single,,21682.23,7,,14,,2,part time,0,27.0,3,3.0,15,11.0,4,8,1975,100071.84,yes
67,44,No,travel_rarely,1374.29, sales ,28,3,,4,female,,4,4, sales executive ,4,married,11100.0,28860.0,3,,18,3.0,3,,1,,2,3.0,12,,11,11,1979,,yes
68,44,No,travel_rarely,556.26,,29,4,,4,male,69.53,3,2, research scientist ,4,single,,11681.39,1,,25,4.0,2,part time,0,,3,3.0,20,,13,17,1979,53914.11,yes
69,40,No,non_travel,556.26,,25,1,,25,female,,4,2, healthcare representative ,3,,,11681.39,5,no,20,4.0,2,part time,3,15.0,0,3.0,12,,11,8,1983,53914.11,yes
70,34,No,travel_rarely,689.93,,2,4,,3,female,86.24,3,2, healthcare representative ,4,single,5572.5,14488.5,1,,11,3.0,4,full time,0,14.0,2,4.0,14,,4,11,1989,66870.0,yes
71,35,No,non_travel,556.26, research & development ,8,4,,3,female,,3,2, healthcare representative ,3,,4492.84,11681.39,1,,12,3.0,4,part time,1,,5,3.0,14,,2,9,1988,53914.11,yes
72,50,No,non_travel,1032.49,,17,5,life sciences,4,female,,2,3, research director ,1,,,21682.23,5,no,15,3.0,3,part time,3,,3,3.0,14,11.0,1,11,1973,100071.84,no
73,49,No,non_travel,1582.77,,6,1,life sciences,3,female,197.85,2,4, healthcare representative ,3,,12783.92,33238.2,2,,19,3.0,2,full time,1,,3,3.0,15,,2,12,1974,153407.07,yes
74,38,No,travel_frequently,488.53,,1,3,life sciences,4,male,61.07,3,2, research scientist ,4,,,10259.17,7,no,15,3.0,4,part time,2,19.0,4,,13,,2,9,1985,47350.0,yes
75,33,No,non_travel,290.04,,21,3,,2,male,,4,1, laboratory technician ,2,,,6090.75,1,no,18,3.0,4,part time,3,14.0,6,,14,,2,13,1990,28111.13,yes
76,47,No,travel_rarely,1032.49,,4,3,life sciences,3,female,,2,3, manufacturing director ,2,divorced,8339.32,21682.23,8,yes,12,,3,part time,1,,4,3.0,22,,14,10,1976,100071.84,yes
77,38,No,non_travel,556.26, research & development ,8,3,,4,female,,2,2, research scientist ,2,divorced,4492.84,11681.39,1,,16,3.0,3,,1,20.0,3,3.0,20,,0,7,1985,,no
78,37,No,travel_rarely,1032.49,,10,3,life sciences,3,female,,4,3, research director ,4,,8339.32,21682.23,1,yes,25,4.0,1,part time,1,16.0,2,3.0,16,,6,8,1986,100071.84,yes
79,30,No,non_travel,556.26,,2,3,,3,male,,2,2, healthcare representative ,4,married,,11681.39,1,no,19,,1,part time,3,11.0,3,3.0,11,,10,8,1993,53914.11,yes
80,58,No,travel_rarely,1431.24,,18,4,,4,male,,3,4, sales executive ,3,single,11560.0,30056.0,0,,13,3.0,3,full time,0,38.0,1,2.0,37,,1,8,1965,138720.0,yes
81,34,No,travel_rarely,1032.49,,5,3,,3,female,,2,3, manager ,1,single,8339.32,21682.23,2,,12,3.0,4,,0,14.0,6,3.0,11,,5,8,1989,,no
82,58,Yes,travel_rarely,1032.49,,23,4,medical,4,female,,3,3, healthcare representative ,4,married,8339.32,21682.23,1,,12,3.0,4,part time,1,40.0,3,2.0,40,,15,6,1965,100071.84,yes
83,38,No,non_travel,1032.49,,3,3,life sciences,1,male,,3,3, sales executive ,3,divorced,8339.32,21682.23,0,,12,3.0,3,,2,,6,2.0,16,,5,13,1985,,yes
84,29,No,travel_frequently,1032.49,,1,1,,2,female,,3,3, sales executive ,4,married,8339.32,21682.23,1,,14,3.0,4,part time,1,11.0,5,3.0,11,,4,1,1994,100071.84,yes
85,55,No,travel_rarely,1964.96,,1,3,medical,4,male,245.62,3,5, manager ,1,single,15870.83,41264.17,0,,14,3.0,3,full time,0,37.0,2,3.0,36,,4,13,1968,190450.0,yes
86,41,No,non_travel,1652.34,,10,4,,4,male,,3,4, manager ,2,,13345.83,34699.17,1,,19,3.0,2,,0,,2,3.0,22,,0,4,1982,,yes
87,39,No,travel_rarely,991.82, research & development ,1,3,,3,male,123.98,4,3, healthcare representative ,4,,8010.83,20828.17,0,no,17,,1,part time,3,19.0,5,2.0,18,,3,7,1984,96130.0,no
88,38,No,non_travel,1187.54,,15,2,life sciences,3,male,148.44,2,3, research director ,4,,,24938.33,0,,14,3.0,2,full time,1,,3,3.0,11,,2,9,1985,115100.0,yes
89,43,No,non_travel,1582.77,,12,3,,1,male,,2,4, research director ,2,,12783.92,33238.2,1,no,11,3.0,3,full time,1,,3,,25,,3,9,1980,153407.07,yes
90,31,No,non_travel,444.27,,30,2,,2,female,,3,2, manufacturing director ,1,married,3588.33,9329.67,1,no,12,3.0,2,,1,13.0,5,1.0,13,,3,12,1992,,yes
91,50,No,travel_rarely,1758.71, research & development ,27,4,life sciences,27,male,,2,4, manager ,3,married,14205.0,36933.0,0,no,15,3.0,2,full time,1,28.0,2,3.0,27,,15,7,1973,170460.0,yes
92,35,No,non_travel,1032.49,,25,3,technical degree,4,male,129.06,2,3, manufacturing director ,2,married,8339.32,21682.23,3,no,16,,1,part time,0,,2,3.0,13,,4,8,1988,100071.84,no
93,47,No,non_travel,522.79,,16,4,,3,male,,4,2, manufacturing director ,3,,4222.5,10978.5,1,yes,19,3.0,3,,0,20.0,3,,19,,2,7,1976,,yes
94,35,No,non_travel,1032.49, research & development ,25,4,,3,female,129.06,3,3, healthcare representative ,3,divorced,8339.32,21682.23,1,yes,11,,3,part time,1,,3,2.0,16,,10,1,1988,100071.84,yes
95,40,No,travel_rarely,1032.49,,20,4,,1,male,129.06,3,3, healthcare representative ,4,married,,21682.23,4,,20,4.0,4,part time,1,14.0,6,3.0,11,,11,1,1983,100071.84,yes
96,45,No,non_travel,556.26, sales ,9,4,life sciences,2,female,,2,2, sales executive ,3,married,4492.84,11681.39,1,,13,3.0,4,part time,1,15.0,2,3.0,15,,4,12,1978,53914.11,no
97,33,No,non_travel,290.04, research & development ,9,3,medical,1,male,,3,1, research scientist ,4,married,,6090.75,0,,13,3.0,2,,1,15.0,5,3.0,14,,4,10,1990,28111.13,no
98,36,No,travel_frequently,380.92,,3,3,,3,male,,3,1, research scientist ,2,married,3076.67,7999.33,1,no,12,3.0,3,full time,0,12.0,2,2.0,11,,0,7,1987,36920.0,no
99,45,Yes,non_travel,1973.98,,13,3,marketing,1,female,246.75,1,5, manager ,2,,15943.72,41453.67,2,yes,16,3.0,1,full time,0,26.0,2,3.0,24,,1,11,1978,191324.62,yes
100,51,No,travel_frequently,2047.71,,27,3,,27,male,255.96,3,5, manager ,2,,,43001.83,4,yes,24,,1,full time,1,,5,2.0,29,,11,10,1972,198470.0,no
101,34,No,travel_rarely,238.13,,7,2,technical degree,2,male,,3,1, sales representative ,3,,,5000.67,0,yes,25,4.0,2,part time,1,12.0,4,3.0,11,,5,7,1989,23080.0,no
102,43,No,travel_rarely,1582.77, research & development ,15,2,,3,male,,2,4, research director ,3,,,33238.2,1,no,24,4.0,1,full time,1,,3,3.0,14,,6,11,1980,153407.07,yes
103,34,No,non_travel,556.26,,5,2,medical,2,male,,2,2, laboratory technician ,4,,4492.84,11681.39,1,no,14,3.0,3,part time,1,,3,,15,,4,13,1989,53914.11,no
104,38,No,non_travel,290.04,,2,3,,1,male,,3,1, human resources ,2,divorced,2342.59,6090.75,5,no,13,3.0,4,part time,3,13.0,3,3.0,11,,3,8,1985,28111.13,yes
105,48,No,non_travel,1973.98,,10,3,,4,male,,2,5, research director ,2,,,41453.67,4,no,12,3.0,4,full time,0,29.0,3,3.0,22,,12,9,1975,191324.62,no
106,34,No,non_travel,592.94, research & development ,22,4,other,3,male,,2,2, research scientist ,4,married,4789.17,12451.83,1,yes,15,3.0,2,full time,0,16.0,3,3.0,15,,6,11,1989,57470.0,no
107,32,No,travel_rarely,1075.29,,31,4,,31,female,134.41,3,3, sales executive ,4,,8685.0,22581.0,1,no,19,3.0,3,full time,2,14.0,3,3.0,14,,5,7,1991,104220.0,yes
108,29,No,travel_rarely,1032.49,,21,4,life sciences,2,female,,4,3, manufacturing director ,1,divorced,8339.32,21682.23,1,no,11,3.0,3,,1,10.0,1,3.0,10,,8,8,1994,,no
109,46,No,non_travel,1032.49,,1,3,medical,3,male,,2,3, healthcare representative ,1,married,,21682.23,2,yes,13,3.0,3,,1,21.0,5,2.0,10,,9,5,1977,100071.84,no
110,30,No,non_travel,654.85, human resources ,9,3,,3,male,,3,2, human resources ,4,married,5289.17,13751.83,0,yes,19,3.0,4,full time,0,,2,1.0,11,,4,7,1993,63470.0,no
